summary_type,family,layer,n,mean,median,ci_low,ci_high
family_layer,constant_repetition,6,5,6.165652465820313,7.256117343902588,4.411752033233642,7.8884858131408695
family_layer,constant_repetition,13,5,8.439749336242675,10.649336814880371,5.4609373092651365,11.303942337036121
family_layer,constant_repetition,20,5,7.779319334030151,8.599053382873535,4.792001819610595,10.98333911895752
family_layer,regular_gsm8k_nothink,6,30,14.430304177602132,14.226259708404541,13.718309965133667,15.14403923511505
family_layer,regular_gsm8k_nothink,13,30,13.700461832682292,13.325958728790283,13.282465339501698,14.112515864372254
family_layer,regular_gsm8k_nothink,20,30,12.941478729248047,12.88267707824707,12.60595688978831,13.284434396425882
family_layer,short_cycle_repetition,6,5,5.667056465148926,4.9984235763549805,4.686297988891601,6.768271732330322
family_layer,short_cycle_repetition,13,5,7.518853759765625,6.757910251617432,6.26131238937378,8.94047441482544
family_layer,short_cycle_repetition,20,5,6.342541790008545,6.50848388671875,5.391076307296755,7.1881073951721195
family_layer,templatic_repetition,6,5,1.3778172731399536,1.37763249874115,1.368016767501831,1.3883058786392213
family_layer,templatic_repetition,13,5,1.5059759616851807,1.5124170780181885,1.4928496837615968,1.516873025894165
family_layer,templatic_repetition,20,5,3.2813815593719484,3.2456531524658203,2.96730637550354,3.6457639217376707
